seed,step,row_space_rotation,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc
85743,16,0.4934035903057582,0.030585911124944687,0.045836516885728894,0.00028798117116956814,0.0014951133740386255,0.0009636010406064831,0.0009636010406064831,0.00028906979549198075,0.0012071322028690574,0.0005315123334321424,0.0005315123334321424,0.0012060435785466448
85743,20,0.37363899271932016,0.030954156070947647,0.046261322931635616,8.787794458021815e-05,0.0005716182117244673,0.0004427945706560619,0.00048710506100840204,8.684981741501833e-05,0.0004837402671442491,0.00012882364106840536,8.45131507160652e-05,0.0004847683943094489
85743,24,0.2886056303026666,0.029111674055457115,0.041439737631356166,-0.00012097789483259123,0.0003308991187147558,0.00030275085234143795,0.0002882671322146831,-0.000118967607629395,0.00045187701354734705,2.8148266373317855e-05,4.263198650007272e-05,0.0004498667263441508
85743,28,0.317473096528608,0.028429990634322166,0.027139439323705897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85744,0,4.712160915387242e-08,0.06869293749332428,0.2367576820641503,0.0006292098324763418,0.0012990977864433262,0.0012990977864433262,0.0013318673380927008,0.0006309988612651794,0.0006698879539669844,0.0,-3.27695516493746e-05,0.0006680989251781468
85744,4,0.33429889206557345,0.03496108949184418,0.08533793405855897,0.0,0.0001983476415426955,9.5377206776551e-05,0.00017167292376912832,0.0,0.0001983476415426955,0.00010297043476614448,2.6674717773567168e-05,0.0001983476415426955
85744,8,0.43414837462941286,0.03150204196572304,0.07355620503308062,0.00020569779344558858,0.0013811495648553551,0.0013231624198320005,0.0013408386034532334,0.00020337972997603684,0.0011754517714097665,5.7987145023354666e-05,4.031096140212176e-05,0.0011777698348793182
85744,12,0.4639913710114022,0.02996322326362133,0.06657966121187825,0.00043215576796300063,0.0015867594135945406,0.0014661660093099418,0.0016221476191861093,0.0004305482351660653,0.0011546036456315401,0.00012059340428459886,-3.538820559156864e-05,0.0011562111784284754
85744,16,0.46062420736485876,0.02822680026292801,0.04085826645158751,4.452824624195322e-05,0.0007692874708162823,0.0006113884464751282,0.0006113884464751282,4.393831170407567e-05,0.0007247592245743291,0.00015789902434115417,0.00015789902434115417,0.0007253491591122067
85744,20,0.41427057613849044,0.0278184674680233,0.05070222044485433,-0.0002207602229631869,0.0005001947197506018,0.00043758920174287604,0.00048461013514968415,-0.00022008893127387075,0.0007209549427137888,6.260551800772577e-05,1.558458460091766e-05,0.0007202836510244726
