seed,seed_eligible,exclusion_reason,algorithm,radius_index,step_radius,arm_admissible,hit_capability,steps,moving_fibre_action,wrong_moving_fibre_action,moving_fisher_length,wrong_moving_fisher_length,cumulative_retraction_fisher_length,cumulative_retraction_norm,cumulative_tangent_proposal_norm,cumulative_retraction_to_tangent_ratio,cumulative_pre_retraction_response_error,left_trapezoid_relative_change,wrong_left_trapezoid_relative_change,max_moving_kernel_residual,max_step_principal_angle_rad,max_source_principal_angle_rad,fibre_rotation_signal,max_rowspace_angle_from_source_rad,max_rowspace_projector_distance_normalized,rowspace_rotation_signal,max_response_relative_error,max_retraction_step_ratio,median_discrete_tangent_residual,max_metric_condition,min_metric_effective_rank
73738,True,,natural_gradient,0,0.08,True,True,5,0.2926007280520428,0.5525052927422079,0.33354872604832053,0.6394609166309237,0.0018100048705867024,0.005614566383883357,0.8823203127831221,0.00636341054664514,0.0011381433400856622,0.0037930993269763365,0.016022809842317257,1.7185749712211873e-08,0.04467945173382759,0.06606005877256393,True,0.3468044698238373,0.09992418438196182,True,2.864079249320639e-07,0.007669143674270864,0.006679078564047813,195.29759216308594,8
73738,True,,natural_gradient,1,0.04,True,True,9,0.29388042229401606,0.5424311738399392,0.33416636288166046,0.6278807017952204,0.001125630314917662,0.003937228022550698,0.876631923019886,0.004491312624102766,0.0007627748527738731,0.0019097170958564673,0.011594765456227583,1.622120571198593e-08,0.03275454789400101,0.06651359051465988,True,0.34629571437835693,0.09928204119205475,True,3.099299306086323e-07,0.007391977870218085,0.004482578486204147,195.19581604003906,8
73738,True,,natural_gradient,2,0.02,True,True,17,0.29249840093042373,0.5510772415834514,0.33408099599182606,0.6434055594727397,0.000766187064001621,0.0028425851196516305,0.8824487514793873,0.003221246689834576,0.0005036517122789519,0.0015233913592973135,0.007429408381338866,1.8442689153630454e-08,0.03723019361495972,0.05913804471492767,True,0.3325648009777069,0.09741473942995071,True,3.4736021348180657e-07,0.007196411342489723,0.00276365177705884,193.0265655517578,8
73738,True,,natural_gradient,3,0.01,True,True,34,0.2911983542943362,0.541534578042523,0.33357548399362713,0.6397550941910595,0.00046526455131402694,0.0017750754896042054,0.8800558494403958,0.0020170032285256995,0.00030822073063063726,0.0009593703858345661,0.0029003763445750426,2.0113191112614004e-08,0.029786257073283195,0.06080871820449829,True,0.33364757895469666,0.0973791629076004,True,3.062737334857957e-07,0.005461832013332894,0.0020885153207927942,196.78909301757812,8
73738,True,,wrong_fisher_natural_gradient,0,0.08,True,True,7,0.46029039808021355,0.040217825442628405,0.49881185684353113,0.04710184643045068,0.0005699081391166806,0.0022991722835286055,0.21630171407014132,0.010629468626323694,0.00039948017547430936,0.00013417103301913543,0.0149051488772419,1.8271039792239208e-08,0.03761255368590355,0.06742476671934128,True,0.3250778019428253,0.0711757093667984,True,2.850962914635602e-07,0.014598637391202374,0.010037914849817753,182.80361938476562,8
73738,True,,wrong_fisher_natural_gradient,1,0.04,True,True,13,0.46012701398211914,0.04026616400063139,0.49858196545392275,0.04706963605713099,0.000383518372346303,0.0015354864117398392,0.21607997734099627,0.007106102243414645,0.000272106562533736,5.7287888494371496e-05,0.0072086923930195146,1.8931769929508846e-08,0.03062114119529724,0.06847730278968811,True,0.3288884162902832,0.071181520819664,True,3.1792544064046524e-07,0.014743124404018757,0.004894639365375042,182.80361938476562,8
73738,True,,wrong_fisher_natural_gradient,2,0.02,True,True,25,0.46002367032936253,0.040203418775176324,0.49864823184907436,0.04704373731510714,0.0002872942972030689,0.001067232500645332,0.21609733160585165,0.004938665798020584,0.00018382940697847516,1.525882518828399e-05,0.003890189786649177,1.8143637703360582e-08,0.02857689931988716,0.06886126101016998,True,0.32553064823150635,0.06988213211297989,True,3.368922421032039e-07,0.014610506400851644,0.0038906580302864313,182.8854217529297,8
73738,True,,wrong_fisher_natural_gradient,3,0.01,True,True,50,0.4600056299498579,0.04014071615959903,0.49860138073563576,0.04704288500943221,0.0001641883188950273,0.0006308215502031089,0.21601160569116473,0.0029203132312483463,0.00010856178064955202,1.035845924342157e-05,0.0019417718810111945,1.9172786025478672e-08,0.028572726994752884,0.06884653121232986,True,0.3288336396217346,0.0698862224817276,True,3.4390274095130735e-07,0.013822052230538555,0.0016798775177448988,183.08729553222656,8
73739,True,,adam,0,0.08,True,True,12,1.1056932926952796,0.584563883319831,0.9474844001233578,0.6375266276299953,0.0023601352877860924,0.00576695945346728,0.7572518847882748,0.007615642257634926,0.0012067732350260485,0.018723013667327253,0.0036276141766494532,1.7837196608638806e-08,0.05154077708721161,0.09687834233045578,True,0.48160097002983093,0.11449766904115677,True,2.9309094884411024e-07,0.018794263258019785,0.005262554623186588,396.7171630859375,8
73739,True,,adam,1,0.04,True,True,24,1.1125275159053254,0.5981681791247103,0.9475563336163759,0.6507863588631153,0.0015258057396639539,0.003665803509647958,0.7479514982551336,0.004901124629337284,0.0007285387550837186,0.00956004737718145,0.0019704169937660165,1.9603021428338252e-08,0.048939093947410583,0.09679759293794632,True,0.48131781816482544,0.11457038670778275,True,3.4833013273782854e-07,0.015090755425788005,0.0035580554977059364,396.7171630859375,8
