seed,step,step_fraction,train_loss,gradient_norm,update_norm,capacity_select_loss,actual_full_response_cost,response_rank,row_space_rotation,current_capacity,source_capacity,permuted_capacity,actual_capacity,future_heldout_gain,future_horizon
87846,6,0.25,7.4105682373046875,0.3353085219860077,1.7680320739746094,9.893512725830078,0.016080869361758232,12,0.31342769764538103,0.1082763671875,0.08801243040296766,0.007568306393093532,0.0075785583919949,1.2285966873168945,6
87846,12,0.5,5.703659534454346,0.33745312690734863,1.693560242652893,8.767932891845703,0.015112514607608318,12,0.5172646294047997,0.1527853012084961,0.052261829376220696,0.010550631417168511,0.010542843076917859,1.5775580406188965,6
87846,18,0.75,3.9739327430725098,0.3125251531600952,1.6534277200698853,7.233031272888184,0.012570296414196491,12,0.6346427953472767,0.2280585765838623,0.031731499565972224,0.016115479999118377,0.016119533114963107,1.7211651802062988,6
87847,0,0.0,9.296243667602539,0.27605751156806946,1.919779658317566,10.911905288696289,0.009886369109153748,12,6.322027276634106e-08,0.046256065368652344,0.046256065368652344,0.0033941004011366098,0.0033880074818929034,0.3427395820617676,6
87847,6,0.25,7.721780776977539,0.22749215364456177,1.7412291765213013,10.826425552368164,0.007021129131317139,12,0.39291384275736596,0.04650974273681641,0.021987464692857533,0.0032198958926730682,0.003218571345011393,0.5690603256225586,6
87847,12,0.5,6.310805320739746,0.2516248822212219,1.6428030729293823,10.770771980285645,0.006929274182766676,12,0.6661789839939245,0.0695791244506836,0.018856578403049044,0.00480606820848253,0.004815763897365994,0.8672513961791992,6
87847,18,0.75,4.863210201263428,0.24674947559833527,1.6125259399414062,10.7662935256958,0.009618833661079407,12,0.8778587323696051,0.0,0.0,0.0,0.0,1.1869802474975586,6
87848,0,0.0,9.296243667602539,0.2517021894454956,1.9198055267333984,10.911905288696289,0.008988800458610058,12,3.6500241499888574e-08,0.0,0.0,0.0,0.0,0.5915117263793945,6
87848,6,0.25,7.749876976013184,0.2446443736553192,1.7468091249465942,10.964200973510742,0.006337281316518784,12,0.23551116611362766,0.0,0.0,0.0,0.0,0.6627540588378906,6
87848,12,0.5,6.174399375915527,0.27984169125556946,1.6996222734451294,11.053337097167969,0.004569275304675102,12,0.4426370833677242,0.0,0.0,0.0,0.0,1.0023856163024902,6
87848,18,0.75,4.423437595367432,0.26398545503616333,1.6762950420379639,11.055797576904297,0.006344279740005732,12,0.6482600595086871,0.07546369234720865,0.005108409457736545,0.005186584260728624,0.005197180642022027,1.3911452293395996,6
